comuna,-99.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,999.0
10105,16,11,425,1501,838,416,1724,782,1746,833,1516,365
10106,3,6,116,528,441,227,1091,1466,905,564,1201,315
10107,17,8,255,880,782,465,1442,451,1364,765,1197,433
10108,4,13,86,450,484,195,978,943,1103,462,980,298
10109,55,96,2482,6368,2651,1273,4490,1014,3027,1255,2943,845
10201,105,43,848,3350,2270,1477,4468,788,3347,1690,2843,1195
10202,14,21,455,2249,1691,938,3574,1624,2973,1546,2632,620
10203,5,15,209,823,611,338,1166,584,1358,637,1246,390
10204,0,0,38,171,168,62,212,155,278,119,186,69
10205,9,4,140,493,547,316,1088,623,1213,721,941,385
10206,1,1,35,131,169,70,211,185,310,162,288,109
10207,0,3,39,227,216,92,327,306,420,165,426,81
10208,13,7,325,1212,1122,687,2276,770,2630,945,2316,605
10209,0,9,69,223,274,176,490,462,648,376,708,159
10210,3,9,55,398,276,110,511,255,447,210,469,113
10301,329,225,2790,12699,7335,4516,14464,2351,10187,5946,10276,2133
10302,3,5,146,248,232,135,513,860,457,328,673,124
10303,6,4,204,768,685,346,1481,870,1277,872,1539,129
10304,5,9,141,328,353,188,704,846,682,452,750,273
10305,7,3,137,513,444,242,882,744,753,594,959,208
10306,3,1,29,111,135,70,435,454,370,139,358,52
10307,3,5,122,422,359,158,802,586,567,433,760,109
10401,3,7,62,212,160,105,364,178,263,121,265,47
10402,0,0,73,230,153,89,347,120,263,89,187,39
10403,3,1,89,384,359,153,758,673,748,263,621,114
10404,3,2,35,123,92,43,195,81,108,58,123,46
11101,43,273,1358,5554,3304,2248,5233,1099,3588,1990,3493,777
11102,2,0,14,29,30,29,85,51,34,27,78,19
11201,11,174,376,1351,1278,735,2183,584,1699,987,1476,444
11202,2,8,87,313,315,170,533,260,403,185,376,97
11203,2,2,39,82,95,50,135,29,104,49,119,18
11301,1,90,81,253,166,125,346,136,233,113,237,92
11302,0,3,20,60,33,35,62,37,48,24,61,3
11303,0,5,13,38,41,28,53,18,34,21,52,2
11401,2,10,74,289,198,150,525,221,348,175,368,75
11402,1,3,45,154,105,79,314,219,206,86,218,26
12101,171,1226,3016,11369,7817,5884,11383,1070,9326,5305,6582,2527
12102,1,14,7,19,11,18,26,42,8,7,12,5
12103,0,2,6,3,3,5,11,31,4,1,14,3
12104,1,2,15,13,11,11,30,38,11,7,19,5
12201,1,47,59,129,107,176,128,47,110,39,80,56
12202,0,23,4,4,6,5,1,0,13,0,1,2
12301,2,95,125,367,329,247,438,255,684,299,522,370
12302,0,0,15,20,12,26,54,42,24,21,37,8
12303,2,0,9,16,10,6,25,17,4,9,15,4
12401,12,200,580,1404,1299,1148,2416,533,1818,1111,1730,379
12402,1,0,31,10,9,12,19,36,7,9,14,7
13101,370,436,14123,70638,32621,22437,67527,646,21037,12820,29237,5607
13102,170,54,1220,5260,4182,2901,7868,222,5041,3305,5637,1929
13103,276,29,757,3272,5105,4621,12198,322,9674,4550,10497,2022
13104,178,240,1171,5763,5960,4872,12200,325,8075,4645,9453,2381
13105,214,362,1389,6330,7147,4934,15564,335,10898,5417,10618,2792
13106,179,335,2646,10935,9665,8761,27246,392,10711,7330,15464,3044
13107,248,42,5113,11393,5316,2941,8364,408,4860,2577,5267,1611
13108,107,50,2010,7376,6730,5233,17308,213,7611,4805,10974,1976
13109,155,99,2209,9586,6935,4579,12007,151,5836,3680,5143,1848
13110,477,191,9994,42614,24443,13281,37830,973,18950,10200,18839,5264
13111,232,39,918,4212,5184,3338,11830,253,7913,3947,7904,2802
13112,164,54,841,3500,6397,3854,17038,493,13501,5402,14620,3812
13113,115,687,5705,18658,4569,2191,5510,318,2108,1111,2671,848
13114,656,865,25395,76056,14921,5677,13609,683,3228,2184,5745,4235
13115,278,51,9114,19230,4249,1599,6031,1127,2121,1446,6221,1857
13116,132,30,520,2299,3338,2715,8502,185,6169,3215,6808,1954
13117,154,39,797,3850,4396,3814,10214,208,6643,3334,7932,953
13118,98,114,3869,17763,8872,4879,12867,311,5457,3374,5569,1472
13119,1094,356,9698,43051,32888,22726,48305,1341,24903,19233,23284,8535
13120,208,207,16215,71156,16752,7221,16577,230,4468,2946,3870,2232
13121,180,55,894,4389,4587,3358,10774,213,6188,3341,6733,1652
13122,305,280,7157,21565,11794,6216,23749,1288,14224,6587,18141,3627
13123,129,217,12317,49307,8222,3359,7529,124,1501,766,1392,1254
13124,414,129,4198,14060,12775,10204,22010,784,12958,8654,14500,4411
13125,253,88,3408,12786,12109,9964,19317,560,12067,9729,13481,4605
13126,128,60,1840,7603,7298,5933,15817,258,8852,5522,9962,2413
13127,188,64,2128,9078,7569,5335,17340,449,11220,5121,13716,2345
13128,220,80,1234,5241,7306,6079,13405,323,9948,6412,11107,2558
13129,103,48,1476,6537,5322,3582,10725,206,6088,3501,6100,1713
13130,164,110,6295,26720,11896,6849,16893,151,6190,4059,5494,1917
13131,86,31,531,2751,3425,2227,8127,154,6198,2750,5958,1031
13132,174,43,9516,21114,3839,1140,3285,220,704,294,2048,1023
13201,611,285,9465,41542,35794,19155,57871,1597,35338,19237,34170,8003
13202,17,19,930,2549,1673,694,2317,743,1740,1102,1581,297
13203,15,12,490,1365,904,414,1718,272,996,722,1075,241
13301,292,244,8816,16515,6554,3304,11213,2012,8043,4283,10726,3319
13302,177,73,3438,10330,8130,5199,12304,1307,9042,6564,8585,2722
13303,7,6,358,1011,1042,512,1565,242,1287,1185,1276,248
13401,367,421,4022,17642,16148,10556,28801,1136,19907,11918,19465,5488
13402,134,64,2671,10304,6396,3302,8957,1608,6059,4411,6907,2076
13403,48,7,900,1763,1159,646,1942,608,1216,1068,1518,501
13404,49,34,1242,3937,3179,1835,5868,2274,4864,3360,6881,1377
13501,78,38,1783,7173,5010,2653,11390,4209,7435,4797,11221,1986
13502,1,0,67,285,333,146,532,318,364,533,813,142
13503,24,5,643,2061,1591,1016,2980,922,2182,1218,2049,479
13504,9,5,256,644,561,333,1056,855,776,750,1148,201
13505,7,0,108,278,262,149,646,950,509,444,1238,141
13601,99,42,1561,5070,3426,1921,6423,945,4258,3171,4399,1826
13602,30,19,379,1678,1495,900,3034,899,2625,1805,2776,502
13603,37,13,700,2378,1715,985,2714,832,2108,1837,2890,554
13604,72,61,1790,6315,4820,2680,7146,540,5192,3826,4160,1594
13605,84,48,1683,6770,4879,2808,8086,575,5330,4304,4682,1471
14101,180,247,3509,17513,8327,4905,15974,1461,9770,4670,8441,1937
14102,5,9,49,141,241,124,391,217,347,242,367,39
14103,18,2,146,687,557,263,1232,442,1006,746,874,314
14104,15,11,196,753,701,371,1657,903,1372,1237,1294,187
14105,3,20,99,300,273,176,564,422,454,390,409,107
